"","UserID","ProblemID","overalGradeDiff","countOfSubmissions","totalTime","countOfVideoEvents","countOfForumEvents"
"1","000e3646f96d6d68198f2fef6f0db5e774bfc69f",1,100,2,59,0,0
"2","000e3646f96d6d68198f2fef6f0db5e774bfc69f",2,100,9,1631,0,11
"3","000e3646f96d6d68198f2fef6f0db5e774bfc69f",4,100,18,7385,0,5
"4","000e3646f96d6d68198f2fef6f0db5e774bfc69f",5,100,14,175474,0,0
"5","000e3646f96d6d68198f2fef6f0db5e774bfc69f",7,100,42,32181,0,21
"6","000e3646f96d6d68198f2fef6f0db5e774bfc69f",8,100,58,346942,0,76
"7","000e3646f96d6d68198f2fef6f0db5e774bfc69f",9,87.5,9,8797,0,25
"8","002f4c9ac175f34c592cb93f709ad2f63665fbfb",0,33.3333333333333,4,902,0,0
"9","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",1,100,5,571,0,0
"10","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",2,100,7,128120,0,16
"11","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",4,100,4,457,0,7
"12","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",5,100,12,73824,22,7
"13","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",8,75,3,181,0,0
"14","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",9,-67.5,2,4910,0,0
"15","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",11,80,12,1783,0,0
"16","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",14,40,8,1130,0,0
"17","0087e6afbb1337a327e3416d31049ccaf600b095",1,100,3,499,0,3
"18","0087e6afbb1337a327e3416d31049ccaf600b095",4,25,2,107,0,0
"19","0087e6afbb1337a327e3416d31049ccaf600b095",7,100,3,568,0,0
"20","0087e6afbb1337a327e3416d31049ccaf600b095",8,12.5,2,253975,0,0
"21","0087e6afbb1337a327e3416d31049ccaf600b095",9,2.5,2,83,0,0
"22","0087e6afbb1337a327e3416d31049ccaf600b095",11,100,3,652,0,0
"23","0087e6afbb1337a327e3416d31049ccaf600b095",14,37.3333333333333,7,8744,0,0
"24","0087e6afbb1337a327e3416d31049ccaf600b095",15,20,4,785,0,0
"25","00b4011fa2cad5669ff2ddbec5ab413735d992b6",0,16.6666666666667,4,317,0,0
"26","00b4011fa2cad5669ff2ddbec5ab413735d992b6",3,16.6666666666667,2,158,0,0
"27","00b4011fa2cad5669ff2ddbec5ab413735d992b6",4,100,7,1361,0,4
"28","00b4011fa2cad5669ff2ddbec5ab413735d992b6",5,100,5,951,0,2
"29","00be45318a6de9854fcc4f4ded799206953e4f79",3,20.8333333333333,3,440,0,0
"30","00c47853120cefbcda1d9d7d1fa65576819ddf29",1,100,9,2302,0,3
"31","00c47853120cefbcda1d9d7d1fa65576819ddf29",2,5,3,3527,0,3
"32","00c47853120cefbcda1d9d7d1fa65576819ddf29",5,15.5555555555556,2,162,0,0
"33","00c47853120cefbcda1d9d7d1fa65576819ddf29",7,14.2857142857143,2,138,0,0
"34","00c47853120cefbcda1d9d7d1fa65576819ddf29",9,32.5,8,26129,0,0
"35","00c47853120cefbcda1d9d7d1fa65576819ddf29",11,22.2222222222222,7,6136,0,0
"36","00c47853120cefbcda1d9d7d1fa65576819ddf29",14,40,6,1779,0,0
"37","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",4,50,3,2340,0,0
"38","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",7,100,6,737,0,3
"39","01412128412b3847419606f1ac550b40568748ad",0,16.6666666666667,4,2708,0,0
"40","01412128412b3847419606f1ac550b40568748ad",3,4.16666666666666,2,848,0,0
"41","01412128412b3847419606f1ac550b40568748ad",4,50,4,1458,0,0
"42","01412128412b3847419606f1ac550b40568748ad",5,100,7,9643,0,2
"43","01412128412b3847419606f1ac550b40568748ad",7,2.85714285714286,3,413,0,0
"44","0163922789abaa2a257f4b3bf5bfeed43e046aa5",0,22.2221692403158,4,612,0,2
"45","0163922789abaa2a257f4b3bf5bfeed43e046aa5",1,100,3,413,0,0
"46","0163922789abaa2a257f4b3bf5bfeed43e046aa5",3,20.8333333333333,6,1516,0,0
"47","0163922789abaa2a257f4b3bf5bfeed43e046aa5",4,50,6,927,0,2
"48","0163922789abaa2a257f4b3bf5bfeed43e046aa5",6,25,4,992,0,0
"49","0163922789abaa2a257f4b3bf5bfeed43e046aa5",7,100,5,807,0,0
"50","0163922789abaa2a257f4b3bf5bfeed43e046aa5",8,100,6,1186,0,0
"51","0163922789abaa2a257f4b3bf5bfeed43e046aa5",10,26.6666650772095,4,897,0,0
"52","0163922789abaa2a257f4b3bf5bfeed43e046aa5",11,100,9,1973,0,6
"53","0163922789abaa2a257f4b3bf5bfeed43e046aa5",12,12.5,3,762,0,0
"54","0163922789abaa2a257f4b3bf5bfeed43e046aa5",13,20,2,288,0,0
"55","0163922789abaa2a257f4b3bf5bfeed43e046aa5",14,100,12,71797,0,20
"56","019d95996d1bb9b3ce50d2a9836b4c818b79377d",2,75,2,69,0,0
"57","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",4,100,5,806,0,0
"58","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",5,88.8888888888889,6,1142,0,0
"59","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",7,100,7,860,0,0
"60","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",8,100,4,291,0,0
"61","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",9,0,3,519,0,0
"62","01d538e757040bd4eefcac2b7c46e651059d9d52",4,100,4,332,0,0
"63","01d538e757040bd4eefcac2b7c46e651059d9d52",5,33.3333333333333,6,2433,0,0
"64","01d538e757040bd4eefcac2b7c46e651059d9d52",7,57.1428571428571,5,3473,0,0
"65","01d538e757040bd4eefcac2b7c46e651059d9d52",9,5,3,521,0,0
"66","01d538e757040bd4eefcac2b7c46e651059d9d52",11,33.3333333333333,3,856,0,0
"67","01d538e757040bd4eefcac2b7c46e651059d9d52",14,8.00000000000001,11,26850,0,7
"68","01d538e757040bd4eefcac2b7c46e651059d9d52",15,20,3,77495,0,0
"69","01f4291a2630294df40a552c46cda1bd95d36cb0",1,20,2,137,0,0
"70","01f4291a2630294df40a552c46cda1bd95d36cb0",4,50,2,535,0,0
"71","01f4291a2630294df40a552c46cda1bd95d36cb0",5,11.1111111111111,2,3138,0,0
"72","01f4291a2630294df40a552c46cda1bd95d36cb0",7,17.1428571428571,2,317,0,0
"73","020cb01f16ef0e63311cb44dba75c4c2415005c3",4,0,3,217,0,0
"74","0218c6f8781b3502b07d6369a1ebd8c36359e004",0,5.55550257364908,2,254,0,0
"75","0236f9efc999c72aa08c28a57cdd3e1e9ad3f212",2,0,4,8653,0,0
"76","026ff341a345194db537f92c9901b8d46deffa1f",0,44.4445013999939,4,358,0,0
"77","02d1e0a0115fe4b0167adec1160dc5303e4c6159",0,61.1111680666606,2,219,0,0
"78","02d9aeeabbad3a858370c523e31f26bbdf6717e0",1,55,4,1000,0,0
"79","02d9aeeabbad3a858370c523e31f26bbdf6717e0",2,25,2,596,0,0
"80","02d9aeeabbad3a858370c523e31f26bbdf6717e0",4,0,7,1379274,9,50
"81","02d9aeeabbad3a858370c523e31f26bbdf6717e0",5,100,7,9831,0,21
"82","02d9aeeabbad3a858370c523e31f26bbdf6717e0",6,18.75,2,9329,0,0
"83","02d9aeeabbad3a858370c523e31f26bbdf6717e0",7,100,4,1153,0,0
"84","02d9aeeabbad3a858370c523e31f26bbdf6717e0",8,12.5,3,241,0,0
"85","02d9aeeabbad3a858370c523e31f26bbdf6717e0",9,25,3,296,0,0
"86","02d9aeeabbad3a858370c523e31f26bbdf6717e0",14,28,4,2551,0,0
"87","02d9aeeabbad3a858370c523e31f26bbdf6717e0",15,30,5,1542,5,7
"88","02e9ccdfec0abc5517e10b6a4df972bc857da18a",4,25,2,142,0,0
"89","02e9ccdfec0abc5517e10b6a4df972bc857da18a",5,22.2222222222222,2,306,0,0
"90","02e9ccdfec0abc5517e10b6a4df972bc857da18a",7,17.1428571428571,2,120,0,0
"91","02e9ccdfec0abc5517e10b6a4df972bc857da18a",9,100,5,949,0,8
"92","02ed43779476a2937781e9b7365281af0a588dc9",0,22.2223321596781,3,1182,0,0
